2026-03-26T19:35:52+00:00 CRITICAL syntax error, unexpected end of file CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:36:37+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:36:39+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:37:33+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:37:53+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:38:40+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:39:37+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:39:54+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:40:41+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:40:44+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:41:55+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:42:37+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2026-03-26T19:42:42+00:00 CRITICAL syntax error, unexpected token ")", expecting ":" CONTEXT: {"error":{"type":4,"file":"C:\xampp\htdocs\mycources\wp-content\themes\tutorstarter\functions.php","line":33},"remote-logging":true,"backtrace":[{"file":"C:\xampp\htdocs\mycources\wp-content\plugins\woocommerce\includes\class-woocommerce.php","line":481,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
